,0
-2.5,4.3487
-3.0,3.9058
-3.5,3.4415
-4.0,2.9885
-4.5,2.5707
-5.0,2.1383
-5.5,1.7588
-6.0,1.4438
-6.5,1.1337
-2.0,4.7153
-1.5,4.9993
-1.0,5.2448
-0.5,5.4768
0.0,5.5118
0.5,5.4026
1.0,5.2271
1.5,4.998
2.0,4.7261
2.5,4.3089
3.0,3.8329
3.5,3.36
4.0,2.9075
4.5,2.4844
5.0,2.093
5.5,1.7579
6.0,1.4323
6.5,1.1278
7.0,0.8721
7.5,0.6586
8.0,0.4889
8.5,0.3592
9.0,0.2599
9.5,0.1996
-7.0,0.8702
-7.5,0.6615
-8.0,0.5128
-8.5,0.3976
-9.0,0.2915
-9.5,0.2041
10.0,0.1451
10.5,0.1012
-10.0,0.1446
-10.5,0.101
-11.0,0.0647
-11.5,0.0417
-12.0,0.0272
-12.5,0.0186
-13.0,0.0136
11.0,0.0685
11.5,0.0486
12.0,0.032
12.5,0.0196
13.0,0.011
13.5,0.0072
-13.5,0.0094
-14.0,0.0055
-14.5,0.0033
-15.0,0.0021
-15.5,0.002
-16.0,0.001
-16.5,0.0003
14.0,0.0057
14.5,0.0038
15.0,0.0034
15.5,0.0021
16.0,0.0016
16.5,0.0012
17.0,0.0007
17.5,0.0002
18.0,0.0004
18.5,0.0003
19.0,0.0001
