,occurences
0.017447171246754614,2.5366
0.017427975544057422,2.5627
0.01745240643728351,1.26135
0.01739830944543829,2.57075
0.017356427868377516,2.56465
0.01730233078627898,2.54
0.017237763234902972,2.49845
0.01716098010728486,2.4649
0.017070236280565053,2.4372
0.01697076692438432,2.41115
0.01685733675189171,2.37235
0.01673343585406992,2.3354
0.016599064167457305,2.30655
0.016450731438098627,2.26285
0.016293672859511183,2.2212
0.016124398163662956,2.17095
0.01594290725486552,2.111
0.01575269025794419,2.0785
0.015550256864530277,2.05555
0.015337352090807815,2.0156
0.015113975843155015,1.98495
0.014880128025897419,1.95105
0.014637553683964284,1.90035
0.014382762440570497,1.8695
0.01411924448743455,1.84375
0.013846999744563406,1.7921
0.013562537795131285,1.72955
0.013271094046155514,1.6703
0.012969178075664565,1.6208
0.012660280165602479,1.56815
0.01234090986995041,1.50985
0.012014557502539255,1.4627
0.011677732594499017,1.41245
0.011333925493107406,1.35935
0.01098313615617881,1.3162
0.010625364544924116,1.2534
0.010258865386816213,1.19925
0.009885383874921796,1.1447
0.009504919982579858,1.0976
0.009119218944331401,1.06105
0.008726535498373935,1.02255
0.008328614900635696,0.99765
0.00792371188639233,0.96775
0.00751357173314345,0.915
0.007098194460173172,0.8571
0.006679325381829893,0.81255
0.006255219246301691,0.77235
0.005825876086806622,0.74165
0.005393041245648262,0.7141
0.004956714778500914,0.68505
0.0045168967447975885,0.662
0.004073587207809738,0.6468
0.0036285315524954152,0.63455
0.0031799845376154602,0.6141
0.0027296915601875207,0.584
0.002277652704550814,0.55745
0.0018238680571513262,0.5332
0.001370083034178425,0.50245
0.000912807072031963,0.48215
0.0004572762480863162,0.45955
0.0,0.4362
-0.0004572762480863162,0.41905
-0.000912807072031963,0.3967
-0.001370083034178425,0.3746
-0.0018238680571513262,0.3536
-0.002277652704550814,0.33575
-0.0027296915601875207,0.31995
-0.0031799845376154602,0.302
-0.0036285315524954152,0.2823
-0.004073587207809738,0.2658
-0.0045168967447975885,0.2559
-0.004956714778500914,0.24575
-0.005393041245648262,0.22865
-0.005825876086806622,0.21115
-0.006255219246301691,0.1948
-0.006679325381829893,0.1851
-0.007098194460173172,0.17855
-0.00751357173314345,0.17315
-0.00792371188639233,0.16785
-0.008328614900635696,0.1569
-0.008726535498373935,0.14395
-0.009119218944331401,0.13425
-0.009504919982579858,0.1293
-0.009885383874921796,0.1275
-0.010258865386816213,0.1263
-0.010625364544924116,0.1281
-0.01098313615617881,0.1212
-0.011333925493107406,0.11205
-0.011677732594499017,0.10585
-0.012014557502539255,0.10075
-0.01234090986995041,0.10155
-0.012660280165602479,0.10645
-0.012969178075664565,0.10585
-0.013271094046155514,0.10355
-0.013562537795131285,0.09935
-0.013846999744563406,0.0966
-0.01411924448743455,0.1018
-0.014382762440570497,0.1054
-0.014637553683964284,0.1006
-0.014880128025897419,0.0967
-0.015113975843155015,0.09755
-0.015337352090807815,0.0979
-0.015550256864530277,0.09375
-0.01575269025794419,0.08775
-0.01594290725486552,0.0859
-0.016124398163662956,0.08835
-0.016293672859511183,0.0883
-0.016450731438098627,0.0821
-0.016599064167457305,0.0753
-0.01673343585406992,0.0748
-0.01685733675189171,0.0751
-0.01697076692438432,0.07135
-0.017070236280565053,0.06875
-0.01716098010728486,0.066
-0.017237763234902972,0.0622
-0.01730233078627898,0.0602
-0.017356427868377516,0.0625
-0.01739830944543829,0.06425
-0.017427975544057422,0.06645
-0.017447171246754614,0.07445
-0.01745240643728351,0.03945
